Sector,Domain,Note
consumer,gotyourbackarkansas.org,Consumer Protection Division of the Arkansas Attorney General's Office -- Note added 1/10/14 19:17
office,gov.mp,"Office of the Governor and Lt. Governor, Commonwealth of the Northern Mariana Islands plus *.gov.mp pattern for other government websites -- Note added 6/7/13 18:59"
govpr,gov.pr,"*.gov.pr pattern for several Puerto Rican government agencies, such as https://www.google.com/#q=site:gov.pr  -- Note added 7/23/14 14:48"
govvi,gov.vi,*.gov.vi pattern for Virgin Island government sites -- Note added 6/7/13 18:57
correctional,govce.net,"Virginia Correctional Enterprises, a Department of Corrections work program to produce goods and services for agencies of the Commonwealth of Virginia  -- Note added 11/19/13 21:11"
governor,governorbryant.com,"Governor Phil Bryant (Mississippi's 64th governor, 2012-) -- Note added 12/6/13 13:03"
governor,governormorehead.net,Governor Morehead School for the Blind -- Note added 7/31/13 16:23
office,groupbenefits.org,"Office of Group Benefits, State of Louisiana -- Note added 9/22/15 17:04"
student,gsfc.org,Georgia Student Finance Commission -- Note added 8/25/15 15:25
guam,guamag.org,Guam Attorney General -- Note added 6/7/13 17:47
guam,guamlegislature.com,Guam Legislature -- Note added 6/7/13 17:46
guam,guamtax.com,Guam Department of Revenue and Taxation -- Note added 6/7/13 17:56
official,havemilk.com,Official site of the Washington Dairy Products Commission -- Note added 11/20/14 6:54
state,hawaiipublicschools.org,Hawaii State Department of Education -- Note added 6/6/13 18:08
village,hoffmanestates.com,"Village of Hoffman Estates, IL -- Note added 7/2/14 18:35"
house,house.mn,Minnesota House of Representatives -- Note added 11/9/15 20:35
historical,hsnm.org,Historical Society of New Mexico -- Note added 7/16/14 5:16
state,hsofmich.org,Michigan State Humanities and Social Services Online -- Note added 9/3/15 15:22
high,htdc.org,High Technology Development Corporation. HTDC 'is a state agency established by the Hawaii State Legislature in 1983 to facilitate the development and growth of Hawaii's commercial high technology industry.' -- Note added 6/12/13 13:21
nc,hwtfc.org,NC health and Wellness Trust fund -- Note added 9/11/15 20:19
lottery,ialottery.com,Iowa Lottery -- Note added 6/12/13 14:08
university,ianrpubs.unl.edu,University of Nebraska - Lincoln Extension publications -- Note added 11/20/13 19:14
army,idahoarmyguard.org,Idaho Army National Guard -- Note added 1/23/14 14:03
lottery,idaholottery.com,Idaho Lottery -- Note added 6/12/13 14:09
ideal,idsaves.org,IDeal - Idaho College Savings Program -- Note added 7/8/13 19:00
benefits,ifcem.com,"Benefits Portal, http://www.in.gov/fssa/ Indiana Family and Social Services Administration -- Note added 11/20/13 19:35"
office,illinoisepay.com,Office of the Illinois State Treasurer -- Note added 7/2/14 18:37
lottery,illinoislottery.com,Illinois Lottery -- Note added 6/12/13 14:09
travel,iloveny.com,Travel and Tourism Site for New York -- Note added 6/6/13 19:12
inclusive,inclusivehealth.org,"Inclusive Health, North Carolina Health Insurance Risk Pool, Inc. -- Note added 11/20/13 19:54"
innovate,innovatewashington.org,Innovate Washington is hereby created as a state agency exercising public and essential governmental functions. Innovate Washington is created as the successor to the Washington technology center and the Spokane intercollegiate research and technology institute (SIRTI). See http://apps.leg.wa.gov/RCW/default.aspx?cite=43.333&full=true  -- Note added 7/23/14 14:21
guam,investguam.com,Guam Economic Development Authority (GEDA) web site. GEDA is an autonomous agency of the Government of Guam and a Guam public corporation. -- Note added 6/7/13 17:59
board,investmentmt.com,Montana Board of Investments -- Note added 11/21/13 14:44
economic,iowaeconomicdevelopment.com,Iowa Economic Development Authority -- Note added 11/21/13 15:05
tribe,iowanation.org,"Iowa Tribe of Oklahoma, Perkins, OK -- Note added 11/21/13 15:11"
national,iowanationalguard.com,Iowa National Guard -- Note added 1/23/14 14:03
state,iowastatefair.org,Iowa State Fair -- Note added 6/12/13 18:48
division,itsok2ask.com,"The North Carolina Division of Public Health, Injury and Violence Prevention Branch, Youth Suicide Prevention Program works in collaboration with The North Carolina Youth Suicide Prevention Task Force to address youth suicide prevention in North Carolina. -- Note added 11/21/13 20:33"
history,jerseyhistory.org,new jersey history site -- Note added 9/16/15 14:49
julian,jfkadatc.net,Julian F. Keith Alcohol and Drug Abuse Treatment Center. JFK ADATC operates under the authority of the State of North Carolina through the Division of State Operated Healthcare Facilities -- Note added 9/22/15 17:00
jobsjersey,jobs4jersey.com,Jobs4Jersey. NJ Department of Labor and Workforce Development. -- Note added 6/6/13 18:08
unified,justice.gov.gu,"Unified Courts of Guam, Guam Judiciary - www.justice.gov.gu -- Note added 6/7/13 17:57"
justice,justiceadmin.org,"Justice Administration Commission - The Justice Administrative Commission (JAC), created in 1965, provides administrative services on behalf of 49 judicial related entities. -- Note added 6/23/15 19:03"
academic,kacada.org,Kentucky Academic Advising Association -- Note added 1/3/14 13:19
highway,kansashighwaypatrol.org,Kansas Highway Patrol -- Note added 7/9/14 4:30
center,kentuckygsa.com,kentucky center -- Note added 8/27/15 16:36
national,kentuckyguard.com,Kentucky National Guard -- Note added 1/23/14 14:03
housing,kentuckyhousing.org, kentucky housing corp -- Note added 8/27/15 16:37
state,kentuckystatepolice.org,Kentucky State Police -- Note added 6/12/13 18:09
travel,kentuckytourism.com,Travel and Tourism Site for Kentucky -- Note added 6/6/13 19:38
higher,kheaa.com,Kentucky Higher Education Assistance Authority -- Note added 7/26/13 17:48
ky,kltprc.info,Ky legislature -- Note added 8/27/15 16:39
state,ksbha.org,Kansas State Board of Healing Arts -- Note added 7/9/14 4:38
state,ksbn.org,Kansas State Board of Nursing -- Note added 7/9/14 4:39
judicial,kscourts.org,Kansas Judicial Branch -- Note added 7/9/14 4:40
department,ksdot.org,Kansas Department of Transportation -- Note added 3/20/14 15:35
historical,kshs.org,Kansas Historical Society -- Note added 7/9/14 4:41
state,kslegislature.org,Kansas State Legislature -- Note added 7/9/14 4:42
lottery,kslottery.com,Kansas Lottery -- Note added 6/12/13 14:09
department,ksrevenue.org,Kansas Department of Revenue -- Note added 7/9/14 4:44
