Sector,States,Domain,Note
office governor,[],gov.mp,"Office of the Governor and Lt. Governor, Commonwealth of the Northern Mariana Islands plus *.gov.mp pattern for other government websites -- Note added 6/7/13 18:59"
* .gov.pr,[],gov.pr,"*.gov.pr pattern for several Puerto Rican government agencies, such as https://www.google.com/#q=site:gov.pr  -- Note added 7/23/14 14:48"
* .gov.vi,[],gov.vi,*.gov.vi pattern for Virgin Island government sites -- Note added 6/7/13 18:57
correctional enterprises,['virginia'],govce.net,"Virginia Correctional Enterprises, a Department of Corrections work program to produce goods and services for agencies of the Commonwealth of Virginia  -- Note added 11/19/13 21:11"
governor phil,['mississippi'],governorbryant.com,"Governor Phil Bryant (Mississippi's 64th governor, 2012-) -- Note added 12/6/13 13:03"
governor morehead,[],governormorehead.net,Governor Morehead School for the Blind -- Note added 7/31/13 16:23
office group,['louisiana'],groupbenefits.org,"Office of Group Benefits, State of Louisiana -- Note added 9/22/15 17:04"
student finance,['georgia'],gsfc.org,Georgia Student Finance Commission -- Note added 8/25/15 15:25
guam attorney,[],guamag.org,Guam Attorney General -- Note added 6/7/13 17:47
guam legislature,[],guamlegislature.com,Guam Legislature -- Note added 6/7/13 17:46
guam department,[],guamtax.com,Guam Department of Revenue and Taxation -- Note added 6/7/13 17:56
official site,['washington'],havemilk.com,Official site of the Washington Dairy Products Commission -- Note added 11/20/14 6:54
state department,['hawaii'],hawaiipublicschools.org,Hawaii State Department of Education -- Note added 6/6/13 18:08
village hoffman,[],hoffmanestates.com,"Village of Hoffman Estates, IL -- Note added 7/2/14 18:35"
house representatives,['minnesota'],house.mn,Minnesota House of Representatives -- Note added 11/9/15 20:35
historical society,['new mexico'],hsnm.org,Historical Society of New Mexico -- Note added 7/16/14 5:16
state humanities,['michigan'],hsofmich.org,Michigan State Humanities and Social Services Online -- Note added 9/3/15 15:22
high technology,['hawaii'],htdc.org,High Technology Development Corporation. HTDC 'is a state agency established by the Hawaii State Legislature in 1983 to facilitate the development and growth of Hawaii's commercial high technology industry.' -- Note added 6/12/13 13:21
nc health,[],hwtfc.org,NC health and Wellness Trust fund -- Note added 9/11/15 20:19
Unknown,['iowa'],ialottery.com,Iowa Lottery -- Note added 6/12/13 14:08
